,,,,,,,Relies on,,,,,,,,,,,,Modifies,,,,,,,,,,,
0xCB,WAI,1,3,No,,No,,,,,,,,,,,,,,,,,,,,,,,,
0xCC,CPY $0000,3,4,No,Yes,Yes,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,Y
0xCD,CMP $0000,3,4,No,Yes,Yes,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,Y
0xCE,DEC $0000,3,6,No,No,Yes,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,N
0xCF,"BBS4 $00,$0000",3,5,No,,No,,,,,,,,,,,,,,,,,,,,,,,,
0xD0,BNE $0000,2,2,No,,No,,,,,,,,,,,,,,,,,,,,,,,,
0xD1,"CMP ($00),Y",2,5,No,Yes,Yes,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,Y
0xD2,CMP ($00),2,5,No,Yes,Yes,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,Y
0xD3,NOP,1,1,No,,No,,,,,,,,,,,,,,,,,,,,,,,,
0xD4,"NOP $00,X",2,4,No,,No,,,,,,,,,,,,,,,,,,,,,,,,
0xD5,"CMP $00,X",2,4,No,Yes,Yes,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,Y
0xD6,"DEC $00,X",2,6,No,No,Yes,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,N
0xD7,SMB5 $00,2,5,No,Yes,Yes,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
0xD8,CLD,1,2,No,Yes,Yes,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,N,N,N
0xD9,"CMP $0000,Y",3,4,No,Yes,Yes,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,Y
0xDA,PHX,1,3,No,No,Yes,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N
0xDB,STP,1,3,No,,No,,,,,,,,,,,,,,,,,,,,,,,,
0xDC,NOP $0000,3,4,No,,No,,,,,,,,,,,,,,,,,,,,,,,,
0xDD,"CMP $0000,X",3,4,No,Yes,Yes,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,Y
0xDE,"DEC $0000,X",3,7,No,No,Yes,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,N
0xDF,"BBS5 $00,$0000",3,5,No,,No,,,,,,,,,,,,,,,,,,,,,,,,
0xE0,CPX #$00,2,2,No,Yes,Yes,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,Y
0xE1,"SBC ($00,X)",2,6,Yes,No,Yes,Y,Y,N,N,Y,N,N,N,Y,N,N,Y,Y,N,N,N,N,Y,Y,N,N,N,Y,Y
0xE2,NOP #$00,2,2,No,,No,,,,,,,,,,,,,,,,,,,,,,,,
0xE3,NOP,1,1,No,,No,,,,,,,,,,,,,,,,,,,,,,,,
0xE4,CPX $00,2,3,No,Yes,Yes,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,Y
0xE5,SBC $00,2,3,Yes,No,Yes,Y,N,N,N,Y,N,N,N,Y,N,N,Y,Y,N,N,N,N,Y,Y,N,N,N,Y,Y
0xE6,INC $00,2,5,No,No,Yes,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,N
0xE7,SMB6 $00,2,5,No,Yes,Yes,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
0xE8,INX,1,2,No,No,Yes,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,Y,N
0xE9,SBC #$00,2,2,Yes,No,Yes,Y,N,N,N,N,N,N,N,Y,N,N,Y,Y,N,N,N,N,Y,Y,N,N,N,Y,Y
0xEA,NOP,1,2,No,,No,,,,,,,,,,,,,,,,,,,,,,,,
0xEB,NOP,1,1,No,,No,,,,,,,,,,,,,,,,,,,,,,,,
0xEC,CPX $0000,3,4,No,Yes,Yes,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,Y
0xED,SBC $0000,3,4,Yes,No,Yes,Y,N,N,N,Y,N,N,N,Y,N,N,Y,Y,N,N,N,N,Y,Y,N,N,N,Y,Y
0xEE,INC $0000,3,6,No,No,Yes,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,N
0xEF,"BBS6 $00,$0000",3,5,No,,No,,,,,,,,,,,,,,,,,,,,,,,,
0xF0,BEQ $0000,2,2,No,,No,,,,,,,,,,,,,,,,,,,,,,,,
0xF1,"SBC ($00),Y",2,5,Yes,No,Yes,Y,N,Y,N,Y,N,N,N,Y,N,N,Y,Y,N,N,N,N,Y,Y,N,N,N,Y,Y
0xF2,SBC ($00),2,5,Yes,No,Yes,Y,N,N,N,Y,N,N,N,Y,N,N,Y,Y,N,N,N,N,Y,Y,N,N,N,Y,Y
0xF3,NOP,1,1,No,,No,,,,,,,,,,,,,,,,,,,,,,,,
0xF4,NOP $0000,3,4,No,,No,,,,,,,,,,,,,,,,,,,,,,,,
0xF5,"SBC $00,X",2,4,Yes,No,Yes,Y,Y,N,N,Y,N,N,N,Y,N,N,Y,Y,N,N,N,N,Y,Y,N,N,N,Y,Y
0xF6,"INC $00,X",2,6,No,No,Yes,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,N
0xF7,SMB7 $00,2,5,No,Yes,Yes,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
0xF8,SED,1,2,No,Yes,Yes,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,1,N,N,N
0xF9,"SBC $0000,Y",3,4,Yes,No,Yes,Y,N,Y,N,Y,N,N,N,Y,N,N,Y,Y,N,N,N,N,Y,Y,N,N,N,Y,Y
0xFA,PLX,1,4,No,No,Yes,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,Y,N,Y,N,N,N,N,Y,N
0xFB,NOP,1,1,No,,No,,,,,,,,,,,,,,,,,,,,,,,,
0xFC,NOP $0000,3,4,No,,No,,,,,,,,,,,,,,,,,,,,,,,,
0xFD,"SBC $0000,X",3,4,Yes,No,Yes,Y,Y,N,N,Y,N,N,N,Y,N,N,Y,Y,N,N,N,N,Y,Y,N,N,N,Y,Y
0xFE,"INC $0000,X",3,7,No,No,Yes,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,N
0xFF,"BBS7 $00,$0000",3,5,No,,No,,,,,,,,,,,,,,,,,,,,,,,,
